Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
87	6697.452	2785.5508	8575.848	1166.9781	8483.454	113.7091	8619.556	8198.16	1000.0	1000.0	435000	651.2532	122.76072	775.566	-254.56117	651.253	122.762	775.19653	-252.84558	-653.3432	56.413326	6793.405627012253
88	8059.3374	215.60847	8306.956	7734.4004	8578.943	111.31273	8768.823	8421.919	1000.0	1000.0	440000	651.74817	125.455925	776.31274	-265.7152	651.7488	125.45523	776.11304	-263.87207	-653.785	58.409412	6862.6050708293915
89	8155.694	289.69052	8506.44	7691.8613	8412.554	965.69336	8826.827	5521.9883	1000.0	1000.0	445000	653.08685	126.64923	776.215	-259.00504	653.08673	126.65103	776.45105	-259.90164	-655.2804	60.57703	6943.456966876984
90	8273.016	57.05284	8330.991	8196.059	8594.702	111.7231	8821.934	8446.407	1000.0	1000.0	450000	654.6883	126.64741	778.71924	-254.66435	654.68854	126.64816	779.22833	-260.81345	-656.8897	58.9178	7022.181639909744
91	8232.784	106.82922	8399.557	8075.7334	8818.855	141.34766	9146.648	8606.554	1000.0	1000.0	455000	656.53015	125.94744	777.8494	-249.34209	656.53	125.94984	780.69476	-254.6191	-658.9948	59.150936	7105.326412200928
92	8163.632	191.43321	8375.825	7877.1636	8329.866	77.514366	8467.123	8193.341	1000.0	1000.0	460000	657.45953	126.6478	783.3971	-249.21082	657.4601	126.64769	782.121	-239.60481	-659.5997	61.207993	7181.0947778224945
93	8372.959	132.49768	8493.715	8146.2466	8264.864	180.32771	8536.155	7942.138	1000.0	1000.0	465000	658.6832	127.59886	794.5644	-248.60216	658.6839	127.59998	791.6406	-253.82155	-660.8702	58.448624	7259.7897889614105
94	8230.332	247.60065	8535.771	7847.2876	8948.338	102.03641	9135.311	8781.779	1000.0	1000.0	470000	660.46295	126.57479	791.7136	-241.83469	660.4633	126.57488	792.72205	-244.80421	-662.6527	56.91931	7329.832513093948
95	8277.408	168.19826	8519.286	8074.0605	8516.87	104.489914	8648.527	8351.859	1000.0	1000.0	475000	662.1755	125.28962	794.3877	-230.81429	662.1762	125.28996	793.1288	-242.68431	-664.2009	57.291355	7420.2488489151
96	8163.8267	254.57553	8419.691	7676.276	8528.911	114.54004	8735.309	8324.623	1000.0	1000.0	480000	663.2818	125.54145	793.44135	-238.18602	663.2819	125.54457	793.30426	-235.23189	-665.3128	62.071426	7509.241405010223
